run_timestamp,model_name,backtest_name,symbol,horizon,model_component,importance_type,feature_name,avg_raw_importance,median_raw_importance,max_raw_importance,avg_normalized_importance,median_normalized_importance,max_normalized_importance,avg_rank,best_rank,times_ranked,times_top_5,times_top_10,avg_return_pct_pred_when_ranked,avg_return_pct_actual_when_ranked,avg_loss_probability_when_ranked,buy_signal_count_when_ranked
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_9_ratio,0.0100090176589291,0.0095760620217196,0.0150115875310773,0.0100090176589291,0.0095760620217196,0.0150115875310773,33.44444444444444,12,9,0,0,-0.0051725058108726,-0.0056857624648163,0.4949811883572692,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_10d_past,0.0099827928801338,0.0097802471522582,0.0126710793014145,0.0099827928801338,0.0097802471522582,0.0126710793014145,33.72727272727273,21,11,0,0,-0.0132583378087384,0.0304141925956776,0.5604864853839735,1
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,consecutive_down_days,0.0099803307049957,0.0090120574281529,0.0134217482936203,0.0099803307049957,0.0090120574281529,0.0134217482936203,33.75,20,12,0,0,-0.0144278008131167,0.0307350312362951,0.5702992177096278,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_slope_20,0.0099729296067448,0.0098544354932238,0.0117541290927449,0.0099729296067448,0.0098544354932238,0.0117541290927449,32.88235294117647,23,17,0,0,-0.0125776048218073,0.0176077856341578,0.5433639846321479,2
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_above_ma_14,0.0098298398610753,0.0096205761678929,0.0125969830553222,0.0098298398610753,0.0096205761678929,0.0125969830553222,37.5,22,4,0,0,-0.0154412669652254,0.0720988086067914,0.58817314618751,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_lag_35,0.0097778934441882,0.0096086275504309,0.0106906218240697,0.0097778934441882,0.0096086275504309,0.0106906218240697,33.6,27,5,0,0,-0.0096989710281513,0.0466749523054009,0.5384402956745423,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_39_ratio,0.0097724848641588,0.0107089928759519,0.011170383574058,0.0097724848641588,0.0107089928759519,0.011170383574058,33.333333333333336,20,12,0,0,-0.0088382778287795,-0.0222617435122682,0.5108879928789231,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_21_ratio,0.0096858977388542,0.0098811841641889,0.0113050278407336,0.0096858977388542,0.0098811841641889,0.0113050278407336,33.388888888888886,24,18,0,0,-0.0111130684904329,-0.0033852595392443,0.523971849284066,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,inverse_pressure_3d,0.0096225006385174,0.0099743487384834,0.0111309230298876,0.0096225006385174,0.0099743487384834,0.0111309230298876,35.333333333333336,27,3,0,0,-0.0147585441957049,0.0338773195836613,0.5686770060937153,1
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,drawdown_from_high_20,0.0095446195910319,0.0101115535546199,0.0106354888204797,0.0095446195910319,0.0101115535546199,0.0106354888204797,36.0,30,7,0,0,-0.0088154923920613,-0.0306440149145155,0.4933063110057461,2
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_36_ratio,0.0095362670319173,0.0085508508879921,0.0117209883170132,0.0095362670319173,0.0085508508879921,0.0117209883170132,34.333333333333336,21,3,0,0,-0.0044333481433626,-0.0979292376918171,0.4254325177187243,1
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_lag_41,0.0095214277586292,0.0092882562690439,0.0135669813235896,0.0095214277586292,0.0092882562690439,0.0135669813235896,34.083333333333336,15,12,0,0,-0.0083293676242315,-0.008915578140357,0.4924429341063186,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,return_vs_inverse_pressure_gap_10d,0.0094930698142955,0.0096084839329599,0.0110175106444024,0.0094930698142955,0.0096084839329599,0.0110175106444024,34.625,23,16,0,0,-0.0097276931704832,0.0042698495715473,0.5112717266551252,3
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,close_lag_4_ratio,0.0094774842970659,0.0094774842970659,0.0115781512632548,0.0094774842970659,0.0094774842970659,0.0115781512632548,36.5,25,2,0,0,-0.0103831134315209,0.0728588726465843,0.5366543285379729,0
2026-06-25_11-32-33,ExtraTrees,et_75trees_depth4_leaf20_sqrt_8m,SQQQ,3,loss_classifier,native_tree_importance,ma_slope_5,0.0094277241340372,0.0085897120868285,0.0127299303895305,0.0094277241340372,0.0085897120868285,0.0127299303895305,37.875,21,8,0,0,-0.0134917000029658,0.0254749113787593,0.5637575591656381,0
